filepath,type,size_bytes,last_modified,related_saps,status
static-template/project-docs/releases/README.md,documentation,9474,2025-10-23T00:31:47.548914,"SAP-002,SAP-007",covered
static-template/project-docs/releases/release-template.md,documentation,15350,2025-10-25T14:49:28.241812,"SAP-002,SAP-007",covered
static-template/project-docs/releases/RELEASE_PLANNING_GUIDE.md,documentation,22571,2025-10-25T14:54:13.722714,"SAP-002,SAP-007",covered
static-template/project-docs/releases/upgrade-philosophy.md,documentation,16480,2025-10-24T21:31:59.179620,"SAP-002,SAP-007",covered
static-template/project-docs/sprints/sprint-template.md,documentation,8920,2025-10-25T14:47:56.480160,SAP-007,covered
static-template/project-docs/sprints/README.md,documentation,21251,2025-10-25T14:47:57.510236,"SAP-002,SAP-007",covered
static-template/src/{{package_name}}/memory/trace.py,code,3320,2025-10-23T00:18:02.547984,SAP-010,covered
static-template/src/{{package_name}}/memory/event_log.py,code,6169,2025-10-17T21:40:49.611970,SAP-010,covered
static-template/src/{{package_name}}/memory/knowledge_graph.py,code,11755,2025-10-17T21:40:49.904618,SAP-010,covered
static-template/src/{{package_name}}/memory/__init__.py,code,726,2025-10-23T00:18:02.552124,SAP-010,covered
static-template/src/{{package_name}}/utils/responses.py,code,11054,2025-10-24T22:15:25.358766,SAP-TEMPLATE-UTILS,covered
static-template/src/{{package_name}}/utils/persistence.py,code,13376,2025-10-24T22:24:26.627206,SAP-TEMPLATE-UTILS,covered
static-template/src/{{package_name}}/utils/__init__.py,code,924,2025-10-24T22:02:36.921793,SAP-TEMPLATE-UTILS,covered
static-template/src/{{package_name}}/utils/errors.py,code,11415,2025-10-24T22:18:20.292523,SAP-TEMPLATE-UTILS,covered
static-template/src/{{package_name}}/utils/validation.py,code,9236,2025-10-24T22:09:13.819496,SAP-TEMPLATE-UTILS,covered
static-template/src/__package_name__/memory/event_log.py,code,6169,2025-10-25T13:15:04.714704,SAP-010,covered
static-template/src/__package_name__/memory/knowledge_graph.py,code,11755,2025-10-25T13:15:04.715081,SAP-010,covered
static-template/src/__package_name__/utils/responses.py,code,11054,2025-10-25T13:15:36.741128,SAP-TEMPLATE-UTILS,covered
static-template/src/__package_name__/utils/persistence.py,code,13376,2025-10-25T13:15:36.737780,SAP-TEMPLATE-UTILS,covered
static-template/src/__package_name__/utils/__init__.py,code,1118,2025-10-25T18:14:06.011884,SAP-TEMPLATE-UTILS,covered
static-template/src/__package_name__/utils/claude_metrics.py,code,16254,2025-10-25T18:11:35.398761,"SAP-013,SAP-TEMPLATE-UTILS",covered
static-template/src/__package_name__/utils/errors.py,code,11415,2025-10-25T13:15:36.734740,SAP-TEMPLATE-UTILS,covered
static-template/src/__package_name__/utils/validation.py,code,9236,2025-10-25T13:15:36.744425,SAP-TEMPLATE-UTILS,covered
